Course Code, Course Name
FLO, First Language Oriya
SLE, Second Language English
TLH, Third Language Hindi
MTA, Mathematics - Algebra 
MTG, Mathematics - Geometry
SCP, Physical Science
SCL, Life Science
SSH, Social Science History
SSG, Social Science Geography
ENG, English
MIL, Oriya
PHY, Physics
PHYL, Physics Lab
CHE, Chemistry
CHEL, Chemistry Lab
BOT, Botany
BOTL, Botany Lab
ZOO, Zoology
ZOOL, Zoology Lab 
MAT, Mathematics
BMA 101, Mathematics - I
BCH 101, Chemistry - I
BCS 101, Programming (C) & Data Structure
BEC 101, Basic Electronics
BCE 101, Fluid Mechanics
BHU 101, English for Communication
BCH 191, Chemistry Lab
BCS 191, Programming Lab
BME 191, Work Shop Practice - I
BCE 191, Engineering Graphics Lab
BMA 102, Mathematics -II 
BPH 101, Physics - I
BME 101, Engineering Mechanicss 
BME 102, Engineering Thermodynamics
BEE 101, Basic Electrical Engg
BHU 102, English for business Communication 
BPH 191, Physics Lab 
BHU 191, Language Lab
BME 191, Work Shop Practice - II
BME 193, Computer Added Machine Drawing
BMA 201, Mathematics - III
BHU 202, Organizational Behavior
BCS 201, Object Oriented Programming
BEC 201, Analog Electronics Circuits
BEE 201, Network Theory
BCS 202, Data and File structure
BCS 291, Object Oriented Prog. Lab
BEC 292, Analog Electronics Circuits Lab
BEE 291, Basic Electrical Engineering Lab
BEC 291, Basic Electronics Lab
BMA 202, Mathematics-IV
BCE 201, Environmental Science
BHU 201, Engineering Economics & Costing
BCS 203, Computer Organization
BEC 203, Digital Electronics Circuits
BCS 204, RDBMS
BCS 293, Computer Organization Lab
BEC 294, Digital Electronics Circuits Lab
BCS 292, RDBMS Lab
BME 291, Mechanical Engineering Lab - I
BCS 301, Microprocessors & Microcomputer
BMA 301, Discrete Mathematical Structure
BCS 302, Operating System
BCS 303, Formal Language Automata Theory
BCS 304, Data Communication
BCS 391, Operating System Lab 
BCS 392, Data Communication Lab
BCS 393, Microprocessors & Microcomputer Lab
BCS 394, Data Processing Lab
BCS 305, Compiler Design
BCS 306, Software Engg. & OOAD 
BCS 307, System Programming
BCS 308, Computer Networks
BCS 309, Analysis & Design of Algorithms
BCS 395, Compiler Design Lab
BCS 396, Internet Lab
BCS 397, Computer Network Lab
BCS 398, Analysis and Design Lab
BCS 401, Computer Graphics & Multimedia
BCS 402, Modeling and Simulation
BEC 303, VLSI Design
BCS 404, Artificial Intelligence
BCS 422, Soft Computing
BCS 491, Computer Graphics Lab
BCS 492, Simulation Lab
BCS 493, Practical Training Seminar
BCS 494, Minor Project
BIT 304, Internet & Web Technology - I
BCS 411, Advanced Comp. Architecture and parallel Processing
BCS 416, Mobile Computing   
BIT 418, Internet & Web Technology - II
BCS 495, Comprehensive Viva Voice  
BCS 496, Seminar  
BCS 497, Major Project
CS 512, Data Structure and Algorithms
CS 514, Mathematics and Computer Science
CS 548, Computer Systems
CS 513, Programming Lab
CS 570, Fundamentals of Information Retrieval
CS 501, Parallel Algorithms
CS 515, Theory of Computation
CS 558, Systems Lab
CS 572, Computational Systems Biology
CS 511, Learning with Kernels